USERID|ROWNUM
1223568|1499
1223599|1500
1223674|1501
1223894|1502
1224062|1503
1224414|1504
1224454|1505
1224572|1506
1224588|1507
1224672|1508
1224822|1509
1224824|1510
1225026|1511
1225068|1512
1225227|1513
1225508|1514
1225564|1515
1225659|1516
1225728|1517
1225794|1518
1225864|1519
1225930|1520
1226022|1521
1226052|1522
1226225|1523
1226268|1524
1226329|1525
1226372|1526
1226549|1527
1226806|1528
1226964|1529
1226972|1530
1227230|1531
1227670|1532
1227809|1533
1227958|1534
1228070|1535
1228096|1536
1228141|1537
1228178|1538
1228251|1539
1228252|1540
1228470|1541
1228675|1542
1228776|1543
1229153|1544
1229293|1545
1229610|1546
1229653|1547
1229907|1548
1229911|1549
1230259|1550
1230268|1551
1230313|1552
1230628|1553
1230823|1554
1231044|1555
1231142|1556
1231217|1557
1231243|1558
1231499|1559
1231509|1560
1231803|1561
1231821|1562
1231848|1563
1231869|1564
1231874|1565
1232237|1566
1232241|1567
1232320|1568
1232574|1569
1232679|1570
1232709|1571
1232722|1572
1232783|1573
1232788|1574
1232912|1575
1233027|1576
1233047|1577
1233053|1578
1233324|1579
1233399|1580
1233473|1581
1233535|1582
1233559|1583
1233804|1584
1233889|1585
1233900|1586
1234135|1587
1234210|1588
1234357|1589
1234378|1590
1234440|1591
1234482|1592
1234520|1593
1234943|1594
1235106|1595
1235137|1596
1235190|1597
1235263|1598
1235344|1599
1235622|1600
1235832|1601
1236194|1602
1236275|1603
1236320|1604
1236766|1605
1236789|1606
1236801|1607
1236960|1608
1237270|1609
1237314|1610
1237405|1611
1237500|1612
1237555|1613
1237586|1614
1237628|1615
1237759|1616
1238123|1617
1238144|1618
1238196|1619
1238568|1620
1238715|1621
1238875|1622
1239161|1623
1239319|1624
1239403|1625
1239680|1626
1239702|1627
1239757|1628
1239953|1629
1240236|1630
1240431|1631
1240484|1632
1240506|1633
1240753|1634
1241081|1635
1241370|1636
1241627|1637
1242161|1638
1242401|1639
1242553|1640
1242658|1641
1242760|1642
1242783|1643
1242945|1644
1242988|1645
1242995|1646
1243071|1647
1243089|1648
1243358|1649
1243370|1650
1243489|1651
1243534|1652
1243797|1653
1243996|1654
1244070|1655
1244110|1656
1244232|1657
1245675|1658
1245733|1659
1245742|1660
1245833|1661
1246075|1662
1246488|1663
1246506|1664
1246556|1665
1246560|1666
1246894|1667
1247052|1668
1247115|1669
1247226|1670
1247373|1671
1247482|1672
1247530|1673
1247760|1674
1248162|1675
1248168|1676
1248172|1677
1248363|1678
1248488|1679
1248591|1680
1248644|1681
1248746|1682
1248852|1683
1248895|1684
1248958|1685
1249073|1686
1249348|1687
1249400|1688
1249511|1689
1249555|1690
1249588|1691
1249677|1692
1249706|1693
1249746|1694
1249911|1695
1249919|1696
1250001|1697
1250112|1698
1250121|1699
1250137|1700
1250319|1701
1250421|1702
1250615|1703
1250646|1704
1250802|1705
1250851|1706
1250983|1707
1250989|1708
1251406|1709
1251660|1710
1251693|1711
1251848|1712
1251886|1713
1252230|1714
1252294|1715
1252484|1716
1252563|1717
1252686|1718
1252691|1719
1253022|1720
1253057|1721
1253070|1722
1253225|1723
1253758|1724
1253776|1725
1253821|1726
1253866|1727
1253983|1728
1254010|1729
1254133|1730
1254186|1731
1254273|1732
1254431|1733
1254433|1734
1254699|1735
1254757|1736
1254799|1737
1255085|1738
1255174|1739
1255696|1740
1255765|1741
1255835|1742
1255870|1743
1256015|1744
1256121|1745
1256209|1746
1256216|1747
1256272|1748
1256349|1749
1256383|1750
1256652|1751
1256873|1752
1257225|1753
1257370|1754
1257625|1755
1257713|1756
1257860|1757
1257908|1758
1258234|1759
1258650|1760
1258960|1761
1259019|1762
1259493|1763
1259771|1764
1259780|1765
1259812|1766
1260143|1767
1261603|1768
1262110|1769
1262229|1770
1262377|1771
1262406|1772
1262487|1773
1262541|1774
1262563|1775
1262705|1776
1262762|1777
1262882|1778
1262931|1779
1262932|1780
1263089|1781
1263300|1782
1263918|1783
1263936|1784
1264057|1785
1264117|1786
1264197|1787
1264469|1788
1264582|1789
1264636|1790
1264715|1791
1264953|1792
1265000|1793
1265132|1794
1265558|1795
1265606|1796
1265765|1797
1265858|1798
1052494|1799
1052658|1800
1052749|1801
1052775|1802
995849|1803
1006168|1804
991264|1805
1010081|1806
1003589|1807
1005354|1808
1017578|1809
1017694|1810
1045547|1811
1045712|1812
1008539|1813
986690|1814
986950|1815
1018997|1816
1051560|1817
996845|1818
996886|1819
993864|1820
997585|1821
1024626|1822
1039056|1823
1028477|1824
1028493|1825
1028572|1826
1040327|1827
1049492|1828
1060723|1829
1060986|1830
1061001|1831
1061009|1832
1124353|1833
1124361|1834
1156994|1835
1157148|1836
1157167|1837
1137129|1838
1137178|1839
1074206|1840
1074416|1841
1174633|1842
1174634|1843
1174636|1844
1174701|1845
1077474|1846
1183783|1847
1244304|1848
1244388|1849
1244459|1850
1244536|1851
1245050|1852
1139981|1853
1140012|1854
1173130|1855
1042893|1856
1043010|1857
1182172|1858
1158403|1859
1158497|1860
1158608|1861
1158623|1862
1196882|1863
1196932|1864
1044192|1865
1260389|1866
1260491|1867
1260818|1868
1260834|1869
1260947|1870
1261152|1871
1261243|1872
1261272|1873
1065816|1874
1075209|1875
1093901|1876
1109133|1877
1153811|1878
1107280|1879
1107306|1880
1107339|1881
1107340|1882
1111782|1883
984207|1884
984213|1885
984273|1886
984332|1887
985143|1888
985167|1889
985195|1890
985828|1891
985842|1892
985904|1893
986092|1894
986260|1895
986627|1896
986825|1897
987071|1898
987203|1899
987375|1900
987534|1901
987877|1902
988158|1903
988248|1904
988270|1905
988641|1906
989734|1907
990087|1908
990139|1909
990264|1910
990349|1911
990360|1912
990438|1913
990560|1914
991355|1915
991806|1916
991960|1917
992465|1918
993091|1919
993133|1920
993317|1921
993471|1922
993973|1923
994030|1924
994179|1925
994428|1926
994457|1927
994990|1928
995486|1929
995721|1930
995859|1931
995948|1932
995951|1933
996083|1934
996399|1935
996835|1936
996882|1937
996928|1938
996965|1939
997021|1940
997032|1941
997128|1942
997177|1943
997304|1944
997382|1945
997438|1946
997449|1947
997551|1948
997900|1949
997981|1950
998152|1951
998671|1952
998886|1953
998889|1954
999063|1955
999105|1956
999118|1957
999196|1958
999244|1959
999689|1960
1000143|1961
1000317|1962
1000769|1963
1000784|1964
1000907|1965
1001110|1966
1001424|1967
1001531|1968
1001674|1969
1001780|1970
1001871|1971
1002737|1972
1002921|1973
1003511|1974
1003516|1975
1003880|1976
1004136|1977
1004229|1978
1004255|1979
1004476|1980
1004516|1981
1004615|1982
1004773|1983
1005081|1984
1005122|1985
